id,organization_name,shelter_name,shelter_address,shelter_city,shelter_province,shelter_postal_code,facility_name,program_name,sector,occupancy,capacity,occupancy_year,occupancy_month
1,COSTI Immigrant Services,COSTI Reception Centre,100 Lippincott Street,Toronto,ON,M5S 2P1,COSTI Reception Centre,COSTI Reception Ctr CITY Program,Co-ed,16,16,2017,January
2,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,973 Lansdowne Avenue,Toronto,ON,M6H 3Z5,Christie Ossington Men's Hostel,Christie Ossington Extreme Weather Program,Men,13,17,2017,January
3,Christie Ossington Neighbourhood Centre,Christie Ossington Men's Hostel,973 Lansdowne Avenue,Toronto,ON,M6H 3Z5,Christie Ossington Men's Hostel,Christie Ossington Men's Hostel,Men,63,63,2017,January
4,"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,43 Christie Street,Toronto,ON,M6G 3B1,Christie Refugee Welcome Centre,Christie Refugee Welcome Ctr - Settlement and Support,Families,66,70,2017,January
5,City of Toronto,Birchmount Residence,1673 Kingston Road,Toronto,ON,,Birchmount Res 1673 Kingston Rd,Birchmount Residence,Men,58,60,2017,January
6,City of Toronto,Birkdale Residence,1229 Ellesmere Road,Toronto,ON,M1P 4V8,Birkdale Residence,Birkdale Residence - Bedded Program,Families,168,160,2017,January
7,City of Toronto,Birkdale Residence,1229 Ellesmere Road,Toronto,ON,M1P 4V8,Birkdale Residence Motel (Fam),Birkdale Residence  - Toronto Plaza Hotel Program,Families,119,150,2017,January
8,City of Toronto,Downsview Dells,1651 Sheppard Ave West,Toronto,ON,,Downsview Dells 1651 Sheppard W,Downsview Dells Bedded Program,Men,23,28,2017,January
9,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - AL site,Family Residence - AL Site (Internal Referral Only),Families,8,0,2017,January
10,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - CoEd Building,Family Residence - Co-Ed,Co-ed,14,40,2017,January
12,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - ID Site,Family Residence - ID Site (Internal Referral Only),Families,0,0,2017,January
13,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - LI Site,Family Residence - LI Site (Internal Referral Only),Families,173,252,2017,January
14,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - MA Site,Family Residence - MA Site (Internal Referral Only),Families,22,48,2017,January
15,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - Main Building,Family Residence - Main,Families,148,110,2017,January
16,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - Roycroft Site,Family Residence - Roycroft Site,Families,42,50,2017,January
17,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - TO,Family Residence - TO site (Internal Referral Only),Families,60,20,2017,January
18,City of Toronto,Fort York Residence,38 Bathrust St,Toronto,ON,,Fort York Res 38 Bathurst St.,Fort York Extreme Weather Program,Men,0,19,2017,January
19,City of Toronto,Fort York Residence,38 Bathrust St,Toronto,ON,,Fort York Res 38 Bathurst St.,Fort York Residence Bedded Program,Men,74,74,2017,January
20,City of Toronto,Fort York Residence,38 Bathrust St,Toronto,ON,,Fort York Res 38 Bathurst St.,Fort York SRO Units Program,Men,24,24,2017,January
21,City of Toronto,Robertson House,291 Sherbourne Street,Toronto,ON,M5A 2R9,Robertson House,Robertson House - MAIN Program,Families,111,90,2017,January
22,City of Toronto,S2H Assessment and Referral Ctre,67 Adelaide Street East,Toronto,ON,,COTA,Bailey House,Men,2,2,2017,January
23,City of Toronto,S2H Assessment and Referral Ctre,67 Adelaide Street East,Toronto,ON,,S2H Assessment and Referral Ctre,Streets to Homes Bedded Program,Co-ed,35,40,2017,January
24,City of Toronto,Seaton House,339 George Street,Toronto,ON,M5A-2N2,Seaton House - 339 George Street,O'Neill Housing First-1st Floor,Men,28,28,2017,January
25,City of Toronto,Seaton House,339 George Street,Toronto,ON,M5A-2N2,Seaton House - 339 George Street,O'Neill Housing First-2nd Floor,Men,27,27,2017,January
26,City of Toronto,Seaton House,339 George Street,Toronto,ON,M5A-2N2,Seaton House - 339 George Street,Seaton House - Annex/Infirmary Program,Men,78,100,2017,January
27,City of Toronto,Seaton House,339 George Street,Toronto,ON,M5A-2N2,Seaton House - 339 George Street,Seaton House - Hostel Program,Men,231,240,2017,January
28,City of Toronto,Seaton House,339 George Street,Toronto,ON,M5A-2N2,Seaton House - 339 George Street,Seaton House - Hostels Extreme Weather Program,Men,10,42,2017,January
29,City of Toronto,Seaton House,339 George Street,Toronto,ON,M5A-2N2,Seaton House - 339 George Street,Seaton House - Long Term Program,Men,90,100,2017,January
30,City of Toronto,Women's Residence,674 Dundas St. W,Toronto,ON,M5T 1H9,Womens' Res - 63 Bellwoods Ave.,Womens' Residence - Bellwoods House,Women,9,10,2017,January
31,City of Toronto,Women's Residence,674 Dundas St. W,Toronto,ON,M5T 1H9,Womens' Res - 674 Dundas St. W,Women's Residence Extreme Weather Program,Women,13,13,2017,January
32,City of Toronto,Women's Residence,674 Dundas St. W,Toronto,ON,M5T 1H9,Womens' Res - 674 Dundas St. W,Womens' Residence - Main Program,Women,102,103,2017,January
33,Cornerstone Place,Cornerstone Place,616 Vaughan Road Toronto,Toronto,ON,M6C 1C2,Cornerstone 616 Vaughan Rd.,Cornerstone Place,Men,50,50,2017,January
34,Covenant House Toronto,Covenant House,20 Gerrard Street East,Toronto,ON,M5B 2P3,Covenant House-20 Gerrard St. E.,Covenant House -  Transitional Safe Beds for women,Youth,1,2,2017,January
35,Covenant House Toronto,Covenant House,20 Gerrard Street East,Toronto,ON,M5B 2P3,Covenant House-20 Gerrard St. E.,Covenant House Residence,Youth,86,94,2017,January
36,Covenant House Toronto,Covenant House,20 Gerrard Street East,Toronto,ON,M5B 2P3,Covenant House-21 McGill Street,Covenant House-Rights of Passage,Youth,27,28,2017,January
37,Dixon Hall,Dixon Hall - Heyworth House,2714 Danforth Avenue,Toronto,ON,M4C 1L7,Dixon Hall - Heyworth House,Dixon Hall - Extreme Weather Program,Co-ed,9,9,2017,January
38,Dixon Hall,Dixon Hall - Heyworth House,2714 Danforth Avenue,Toronto,ON,M4C 1L7,Dixon Hall - Heyworth House,Dixon Hall - Heyworth House,Co-ed,74,74,2017,January
39,Dixon Hall,Dixon Hall - Schoolhouse,349 George Street,Toronto,ON,M5A 2N2,Dixon Hall-School House,Dixon Hall - Schoolhouse,Men,44,44,2017,January
40,Eva's Initiatives,Eva's Phoenix,60 Brant Street,Toronto,ON,M5V 3G9,Eva's Phoenix,Eva's Phoenix,Youth,49,50,2017,January
41,Eva's Initiatives,Eva's Place,360 Lesmill Road,North York,ON,M3B 2T5,Eva's Place,Eva's Place,Youth,39,40,2017,January
42,Eva's Initiatives,Eva's Satellite,25 Canterbury Place,North York,ON,M2N OE3,Eva's Satellite,Eva's Satellite,Youth,32,32,2017,January
